8cd471bef3f633f16c89ed935606458d81644a97	SKILL.md:2	name ru-text
cb329146a0dd0d566b0628744d67936558741ffa	SKILL.md:3	description
7d4ba9c891e0699d6ed045008db4cd96195fa9d6	SKILL.md:4	Use when writing editing or reviewing Russian-language text or when user
d2d1a428e9edfba03a9c8b8cf0ace6b6f0d111fb	SKILL.md:5	mentions ru-text Covers typography info-style editorial UX writing business
77986ec1fbc3669c9a71b097e5ee7a5a3833a748	SKILL.md:6	correspondence AI-text cleanup Auto-activates on Russian text output
4c24b2612e94e2ae622e54397663f2b7bf0a2e17	SKILL.md:7	metadata
c0e408a0ac1ea21e5206e43deb9e95d3381f7f5f	SKILL.md:8	openclaw
8d366ac66fb75ef6f601b4c82844cb7dabd40b61	SKILL.md:9	always true
7d013fa0d7af4ef47b3624dcc83cb0e0a0e58a02	SKILL.md:10	emoji \U0001F4DD
6fefd6d37da07ae1d9c661fbeead2674f048e9ec	SKILL.md:11	homepage httpsru-textorg
098a645e1d5c0636b74da478b85d554ee8768a78	SKILL.md:16	Independent Russian text quality reference by Arseniy Kamyshev
c5c5d50180bdc2112c78ea5d6a670abb48a38828	SKILL.md:17	With gratitude to the authors whose work shaped modern Russian text standards
28f3a0fd50f0c527c5476677be945fa6c1396f8e	SKILL.md:18	Credits and recommended reading referencessourcesmd
d2349d20190fe98dc2be22d252b979bc57db7308	SKILL.md:20	Style priority if the user explicitly requests a specific style casual academic SEO literary etc their prompt overrides these default rules where they conflict These rules are defaults not mandates
faffeb52aaf28058af63570299a8d3d32e85d5fe	SKILL.md:22	Reviewing vs rewriting when checking or proofreading existing text or a file return the corrected version plus a list of changes - do not silently overwrite the source file Rewrite a file in place only when the user explicitly asks
0ab829745216f69331f82c596a591273c878a015	SKILL.md:24	Always-On Typography
b10c17f97a39ec942172464b47fe2095813afdc3	SKILL.md:26	Apply these rules to ALL Russian text output without exception
d2b16b7293da89ff4bb42966e35668fa7ff576a9	SKILL.md:30	Primary quotes guillemets | текст | текст |
6f76e408eaa7e739d57a07f3262932a476655784	SKILL.md:31	Nested quotes lapki | вложенные | вложенные |
c8d31c111bc7dbfcad8367277e3e219dc8347911	SKILL.md:32	Em dash with spaces | слово - слово | слово - слово |
3b7c457a177c3d916f6bc183eab704034a5cd1fd	SKILL.md:33	En dash for ranges no spaces | 10-15 дней | 10-15 дней |
