f960957057b4f8bcd8c95b4528f5a2b8996d2c4d	SKILL.md:2	name fixture
6530c3a6f8f6228ac96984c076aec67206087026	SKILL.md:3	description -
9cf6a23225d67b708ee0d9ff5cd83c46afdf5e46	SKILL.md:4	Держится в снимке это триггер активации и его тихая правка - ровно тот класс
00b89721bac1a28d9bd38f4e0b7221ae92f33588	SKILL.md:5	потери который снимок обязан показывать
f117eabc0046f0a61262e2e8614471168d6bf2eb	SKILL.md:15	A Голая таблица
ae05bc65547b008102e2fbf064736ec634f97fd1	SKILL.md:18	является|тире перестроить
0bc8042a63eeb79f4a3b086f74928786cdda47e1	SKILL.md:19	ну|убрать
f6eaaea1dc2c5de9ef491373b18f52aab4f82dea	openai.yaml:1	shortdescription Russian text quality - fixture descriptor
d2a141031dcfede0421baf87540102e07f84dd74	rules.md:8	Разметка
54e1fb5517087d166dd786baaad2c271c8e067b2	rules.md:12	markdown-таблица | строка данных - атом |
668c9b1d2a4632008411727bc97a0cce1b6e3540	rules.md:14	Канцелярит bureaucratic
7e68715b1b1b52d01074ee18ca2a4b8f426ebb44	rules.md:16	осуществлять|делать
01224f5e57eb8b42e78ec74d8004f47763bea7ac	rules.md:18	Многострочное
2ece453a0af54cdc10e9d36d531f0eb770f54d6d	rules.md:20	Удаление воды
c1973b94cba4403ba6bb61fdd67727d6be55869c	rules.md:21	До Наша компания осуществляет деятельность
b34cb15e757257c1a5ed47a5c9b771b946a90281	rules.md:22	После Мы консультируем 12 лет
003298ddf1ac3aaba31c39e18df41e4dc49be7c8	rules.md:24	Спецификация
e1fd290c296aca855542a5942be111e71f42e283	rules.md:27	Оценка XX 10
9db84ecbbbf301af14f61a2a3a14a7af2b84d452	rules.md:29	Измерение | Балл |
0c398289e1ef2974b89141a0a0b13b472b26301a	rules.md:31	Точность | XX |
251bc467edb2b0b4b54f834bfe594722b84b79db	rules.md:33	Формула T×015 XX
d1f1ec623524dd40ca0c10834c8509f1fc348237	rules.md:38	Строка после разделителя
